case_id,classification,doc_json,doc_input_kind,doc_input_raw,patch_json,patch_input_kind,patch_input_raw,expected_outcome,expected_fail_index,expected_result_doc_json,actual_outcome,actual_fail_index,actual_result_doc_json,doc_after_json,exception_type,observation,pass
add_member,success,"{""a"":1}",json,,"[{""op"":""add"",""path"":""/b"",""value"":2}]",json,,success,,"{""a"":1,""b"":2}",success,,"{""a"":1,""b"":2}","{""a"":1}",,ok,true
replace_null,success,"{""x"":null}",json,,"[{""op"":""replace"",""path"":""/x"",""value"":""v""}]",json,,success,,"{""x"":""v""}",success,,"{""x"":""v""}","{""x"":null}",,ok,true
remove_keep_null,success,"{""a"":1,""n"":null}",json,,"[{""op"":""remove"",""path"":""/a""}]",json,,success,,"{""n"":null}",success,,"{""n"":null}","{""a"":1,""n"":null}",,ok,true
array_insert_mid,success,"{""arr"":[0,2,3]}",json,,"[{""op"":""add"",""path"":""/arr/1"",""value"":1}]",json,,success,,"{""arr"":[0,1,2,3]}",success,,"{""arr"":[0,1,2,3]}","{""arr"":[0,2,3]}",,ok,true
array_append_dash,success,"{""arr"":[1]}",json,,"[{""op"":""add"",""path"":""/arr/-"",""value"":2}]",json,,success,,"{""arr"":[1,2]}",success,,"{""arr"":[1,2]}","{""arr"":[1]}",,ok,true
pointer_slash_escape,success,"{""a/b"":5}",json,,"[{""op"":""replace"",""path"":""/a~1b"",""value"":6}]",json,,success,,"{""a/b"":6}",success,,"{""a/b"":6}","{""a/b"":5}",,ok,true
pointer_tilde_escape,success,"{""a~b"":5}",json,,"[{""op"":""replace"",""path"":""/a~0b"",""value"":6}]",json,,success,,"{""a~b"":6}",success,,"{""a~b"":6}","{""a~b"":5}",,ok,true
root_replace,success,"{""old"":1}",json,,"[{""op"":""replace"",""path"":"""",""value"":{""new"":2}}]",json,,success,,"{""new"":2}",success,,"{""new"":2}","{""old"":1}",,ok,true
copy_deep_isolation,success,"{""dst"":null,""src"":[1,2]}",json,,"[{""from"":""/src"",""op"":""copy"",""path"":""/dst""}]",json,,success,,"{""dst"":[1,2],""src"":[1,2]}",success,,"{""dst"":[99,2],""src"":[1,2]}","{""dst"":null,""src"":[1,2]}",,"ok post_mutate dst[0]=99, src_unchanged=True",true
move_member,success,"{""a"":7,""b"":null}",json,,"[{""from"":""/a"",""op"":""move"",""path"":""/b""}]",json,,success,,"{""b"":7}",success,,"{""b"":7}","{""a"":7,""b"":null}",,ok,true
test_pass,success,"{""k"":""v""}",json,,"[{""op"":""test"",""path"":""/k"",""value"":""v""},{""op"":""replace"",""path"":""/k"",""value"":""w""}]",json,,success,,"{""k"":""w""}",success,,"{""k"":""w""}","{""k"":""v""}",,ok,true
number_equality_1_1_0,success,"{""n"":1.0}",json,,"[{""op"":""test"",""path"":""/n"",""value"":1}]",json,,success,,"{""n"":1.0}",success,,"{""n"":1.0}","{""n"":1.0}",,ok,true
ignored_extra_member,success,"{""k"":1}",json,,"[{""extra"":""ignored"",""op"":""replace"",""path"":""/k"",""value"":2}]",json,,success,,"{""k"":2}",success,,"{""k"":2}","{""k"":1}",,ok,true
root_add,success,"{""old"":1}",json,,"[{""op"":""add"",""path"":"""",""value"":{""new"":3}}]",json,,success,,"{""new"":3}",success,,"{""new"":3}","{""old"":1}",,ok,true
root_test_pass,success,"{""a"":1}",json,,"[{""op"":""test"",""path"":"""",""value"":{""a"":1}}]",json,,success,,"{""a"":1}",success,,"{""a"":1}","{""a"":1}",,ok,true
test_fail_rollback,test_failed,"{""k"":""v""}",json,,"[{""op"":""replace"",""path"":""/k"",""value"":""x""},{""op"":""test"",""path"":""/k"",""value"":""nope""}]",json,,test_failed,1,,test_failed,1,,"{""k"":""v""}",TestFailed,test failed,true
true_not_equal_1,test_failed,"{""k"":true}",json,,"[{""op"":""test"",""path"":""/k"",""value"":1}]",json,,test_failed,0,,test_failed,0,,"{""k"":true}",TestFailed,test failed,true
dash_reject_replace,array_index_error,"{""arr"":[1]}",json,,"[{""op"":""replace"",""path"":""/arr/-"",""value"":9}]",json,,array_index_error,0,,array_index_error,0,,"{""arr"":[1]}",PointerResolveError,'-' not allowed for existing target,true
array_index_out_of_range,array_index_error,"{""arr"":[1,2]}",json,,"[{""op"":""add"",""path"":""/arr/5"",""value"":9}]",json,,array_index_error,0,,array_index_error,0,,"{""arr"":[1,2]}",PointerResolveError,"add index 5 out of range [0,2]",true
invalid_pointer_escape,invalid_pointer,"{""a"":1}",json,,"[{""op"":""replace"",""path"":""/a~2b"",""value"":2}]",json,,invalid_pointer,0,,invalid_pointer,0,,"{""a"":1}",PointerSyntaxError,invalid escape ~2 in token 'a~2b',true
copy_source_missing,source_missing,{},json,,"[{""from"":""/missing"",""op"":""copy"",""path"":""/x""}]",json,,source_missing,0,,source_missing,0,,{},PointerResolveError,missing member 'missing',true
move_source_missing,source_missing,{},json,,"[{""from"":""/missing"",""op"":""move"",""path"":""/x""}]",json,,source_missing,0,,source_missing,0,,{},PointerResolveError,missing member 'missing',true
move_into_descendant,move_into_descendant,"{""a"":{""b"":1}}",json,,"[{""from"":""/a"",""op"":""move"",""path"":""/a/b""}]",json,,move_into_descendant,0,,move_into_descendant,0,,"{""a"":{""b"":1}}",MoveIntoDescendant,move into own descendant,true
unknown_op,invalid_operation,{},json,,"[{""op"":""zap"",""path"":""/x""}]",json,,invalid_operation,0,,invalid_operation,0,,{},,unknown_op_name,true
missing_op_member,invalid_operation,{},json,,"[{""path"":""/x"",""value"":1}]",json,,invalid_operation,0,,invalid_operation,0,,{},,missing_required_member:op,true
missing_path_member,invalid_operation,{},json,,"[{""op"":""add"",""value"":1}]",json,,invalid_operation,0,,invalid_operation,0,,{},,missing_required_member:path,true
